Type,Tracking Number,Case Type,Intake Date,Closed Date,Finding,Result,Respondent Agency,Received By,Staff Assigned To,Mediation Requested,Region,No basis identified,SNAPPER Issue,Status,Mediation Start Date,Mediation End Date,LEP,Complainant City,Respondent First Name,Respondent Race,Respondent Sex,Respondent City,External Agency,Client Type,Date Response Submitted,Date Sent to FNS,Exteranl Agency Due Date,Created Date,DUE Date,Date Assigned,FNS Concurrence Date,How Received
Comment,Q12112009.0200020,32 - General Contracts Complaint (Contract),7/14/2010,,,,DARS,"Olson, Karelle","Ford, Mayra",N,REGION 08,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Victoria,Dolly,6-UNKNOWN,U,Victoria,AABC,,7/20/2010,,7/20/2010,12/11/2009,3/24/2017,3/17/2017,,Other
Comment,Q12112009.0200024,32 - General Contracts Complaint (Contract),10/1/2008,,,,CADS,"Olson, Karelle","Ford, Mayra",N,REGION 08,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,San Antonio,Big Bird,6-UNKNOWN,U,,ARENUMAS,,7/7/2010,,7/7/2010,12/11/2009,3/24/2017,3/17/2017,,Other
Comment,Q12112009.0200025,32 - General Contracts Complaint (Contract),1/7/2010,,,,ZIMZ,"Olson, Karelle","Ford, Mayra",N,REGION 04,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Jacksonville,Chump,6-UNKNOWN,U,Jacksonville,ARENUMAS,,1/22/2010,,1/22/2010,12/11/2009,3/24/2017,3/17/2017,,Other
Comment,Q12112009.0200010,23 - General Charge,3/7/2008,,,,DONS,"Olson, Karelle","Thompson, Troy",N,REGION 08,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,San Antonio,Dinosaur,6-UNKNOWN,U,San Antonio,ARENUMAS,,4/3/2008,,4/3/2008,12/11/2009,10/11/2011,9/10/2009,,Other
Comment,Q12082009.0200027,23 - General Charge,10/1/2008,,,,ZIMZ,"Olson, Karelle","Ford, Mayra",N,REGION 02,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,DeSoto,Cookie,6-UNKNOWN,U,,ARENUMAS,,10/13/2008,,10/13/2008,12/8/2009,3/24/2017,3/17/2017,,Other
Comment,Q12112009.0200021,23 - General Charge,7/29/2010,,,,DONS,"Olson, Karelle","Ford, Mayra",N,REGION 07,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Cedar Park,Dinosaur,6-UNKNOWN,U,Austin,ARENUMAS,,7/29/2010,,7/29/2010,12/11/2009,3/24/2017,3/17/2017,,Other
Comment,Q12112009.0200026,23 - General Charge,6/14/2010,,,,CADS,"Olson, Karelle","Ford, Mayra",N,REGION 03,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Dallas,Weiner,6-UNKNOWN,U,Grand Prairie,ARENUMAS,,7/15/2010,,7/15/2010,12/11/2009,9/14/2016,9/7/2016,,Other
Comment,Q11072011.0200021,23 - General Charge,11/7/2011,,,,ZIMZ,"Altenwerth, Alessandra","Grant, Jair",N,REGION 06,N,Y,"INVESTIGATION COMPLETED, PENDINGABC APPROVAL",,,N,Channelview,Sherlock,6-UNKNOWN,U,Houston,ARENUMAS,,12/1/2011,12/2/2011,12/7/2011,11/7/2011,3/4/2020,2/26/2020,,Email
Comment,Q04202012.0200003,32 - General Contracts Complaint (Contract),4/17/2012,,,,ZIMZ,"Altenwerth, Alessandra","Ford, Mayra",N,REGION 07,N,N,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Dime Box,Psycho,6-UNKNOWN,F,Austin,ASEND,,10/22/2012,,11/1/2012,4/20/2012,3/24/2017,3/17/2017,,Mail
Comment,Q07122012.0200005,23 - General Charge,7/12/2012,,,,ZIMZ,"Altenwerth, Alessandra","Ford, Mayra",N,REGION 07,N,Y,RESPONSE SUBMITTED; PENDING OUTCOME,,,N,Austin,Doobie,6-UNKNOWN,U,Austin,ARENUMAS,,9/5/2012,9/5/2012,9/5/2012,7/12/2012,3/24/2017,3/17/2017,,Email
